time(s),current(A),cart position(m),pendulum angle(rad)
8.511488,-1.222,0.145278,-3.12352849582192
8.516224,-0.832,0.143712,-3.12902628296568
8.520832,-0.39,0.14211,-3.13295327378265
8.525312,0.052,0.140508,-3.13845106092642
8.529664,0.676,0.138978,-3.14237805174339
8.534208,0.884,0.1377,-3.14473424623358
8.538688,1.326,0.136638,-3.14944663521395
8.543296,1.612,0.135972,-3.15101743154074
8.547904,1.742,0.135774,-3.15101743154074
8.552512,1.872,0.135954,-3.15337362603092
8.55712,1.872,0.136674,-3.15180282970414
8.561664,1.742,0.137736,-3.15101743154074
8.566272,1.326,0.139086,-3.15101743154074
8.57088,1.066,0.140706,-3.14709044072377
8.575424,0.728,0.142452,-3.14473424623358
8.579776,0.182,0.144126,-3.14237805174339
8.584256,-0.182,0.145836,-3.14002185725321
8.588864,-0.78,0.147402,-3.13845106092642
8.593536,-1.222,0.148734,-3.13609486643624
8.598336,-1.482,0.149742,-3.13530946827284
8.603136,-1.768,0.15021,-3.13609486643624
8.607872,-1.716,0.15021,-3.13609486643624
8.612672,-1.924,0.149832,-3.13845106092642
8.617408,-1.716,0.148986,-3.14159265358
8.622208,-1.404,0.147726,-3.14551964439697
8.62688,-1.04,0.146304,-3.14866123705055
8.631552,-0.598,0.144738,-3.15415902419432
8.63616,-0.052,0.14301,-3.1580860150113
8.640576,0.312,0.141426,-3.16279840399166
8.645056,0.884,0.140022,-3.16593999664525
8.649536,1.248,0.138798,-3.16986698746222
8.654144,1.534,0.137916,-3.1730085801158
8.658752,1.82,0.137448,-3.17457937644259
8.66336,1.924,0.137466,-3.17457937644259
8.667968,1.846,0.137808,-3.17693557093278
8.672576,1.69,0.1386,-3.17536477460599
8.67712,1.534,0.139752,-3.17379397827919
8.681728,1.17,0.141102,-3.1730085801158
8.686272,0.78,0.142632,-3.17143778378901
8.690688,0.286,0.144234,-3.16672539480864
8.695232,-0.026,0.145818,-3.16593999664525
8.699712,-0.702,0.14724,-3.16358380215506
8.704448,-1.014,0.148518,-3.16122760766487
8.709184,-1.404,0.14949,-3.16122760766487
8.713984,-1.638,0.14994,-3.16044220950148
8.71872,-1.794,0.149958,-3.16122760766487
8.72352,-1.846,0.149526,-3.16358380215506
8.728256,-1.716,0.148662,-3.16515459848185
8.733056,-1.534,0.14742,-3.16986698746222
8.737856,-0.91,0.14589,-3.17379397827919
8.742464,-1.024,0.14427,-3.17772096909617
8.747136,-0.052,0.142488,-3.18321875623994
8.751552,0.338,0.140832,-3.18714574705691
8.755968,0.754,0.139338,-3.1895019415471
8.760512,1.144,0.138024,-3.19264353420068
8.76512,1.508,0.137052,-3.19657052501765
8.769664,1.846,0.136512,-3.19735592318104
8.774272,1.82,0.136386,-3.19814132134444
8.77888,1.924,0.13671,-3.19971211767123
8.783488,1.924,0.137484,-3.19735592318104
8.788096,1.508,0.1386,-3.19578512685425
8.792704,1.118,0.139968,-3.19499972869086
8.797184,0.728,0.141516,-3.19185813603728
8.801664,0.26,0.143118,-3.1879311452203
8.806144,-0.13,0.144702,-3.18636034889351
8.810752,-0.65,0.14616,-3.18400415440333
8.815424,-1.092,0.14742,-3.18086256174975
8.820224,-1.536,0.148446,-3.17929176542296
8.82496,-1.716,0.14895,-3.17929176542296
8.82976,-1.872,0.14895,-3.17929176542296
8.83456,-1.976,0.148536,-3.18007716358636
8.839296,-1.612,0.14778,-3.18164795991314
8.844096,-1.586,0.146592,-3.18557495073012
8.848832,-1.092,0.14508,-3.1895019415471
8.853504,-0.832,0.143478,-3.19264353420068
8.858112,-0.052,0.141786,-3.19578512685425
8.862592,0.338,0.140166,-3.20049751583463
8.867008,0.806,0.138708,-3.20285371032481
8.871488,1.222,0.137484,-3.205209904815
8.876096,1.43,0.136548,-3.20835149746857
8.880704,1.794,0.136098,-3.20835149746857
8.885312,1.898,0.13608,-3.20835149746857
8.88992,1.924,0.136476,-3.20835149746857
8.894528,1.846,0.137358,-3.20599530297839
8.899136,1.28,0.138546,-3.20363910848821
8.90368,1.066,0.139986,-3.20128291399802
8.908224,0.728,0.141606,-3.19735592318104
8.91264,0.182,0.143244,-3.19499972869086
8.917184,-0.234,0.144882,-3.19107273787389
8.921792,-0.806,0.146376,-3.18714574705691
8.926464,-1.066,0.147636,-3.18400415440333
8.931264,-1.534,0.148644,-3.18243335807654
8.936,-1.716,0.149094,-3.18164795991314
8.9408,-1.898,0.149076,-3.18086256174975
8.945536,-1.898,0.148644,-3.18086256174975
8.950336,-1.534,0.147852,-3.18243335807654
8.955072,-1.456,0.146646,-3.18557495073012
8.959808,-0.884,0.145206,-3.1879311452203
8.964416,-0.624,0.143694,-3.19107273787389
8.968896,-0.078,0.142128,-3.19342893236407
8.973312,0.312,0.140616,-3.19657052501765
8.977856,0.936,0.139266,-3.19892671950783
8.982336,1.248,0.138186,-3.19892671950783
8.986944,1.612,0.137448,-3.20128291399802
8.991552,1.898,0.13716,-3.20128291399802
8.99616,1.872,0.137304,-3.20049751583463
9.000768,1.846,0.137844,-3.19971211767123
9.005376,1.586,0.138798,-3.19578512685425
9.009984,1.378,0.140058,-3.19342893236407
9.014464,0.988,0.141462,-3.19185813603728
9.01888,0.624,0.143028,-3.18636034889351
9.023232,0.156,0.144612,-3.18243335807654
9.027776,-0.364,0.146106,-3.17929176542296
9.032384,-0.858,0.147456,-3.17457937644259
9.037056,-1.378,0.148626,-3.1722231819524
9.041856,-1.586,0.149346,-3.17065238562561
9.046592,-1.898,0.149544,-3.16829619113543
9.051392,-1.872,0.149328,-3.16751079297204
9.056128,-1.82,0.148698,-3.16908158929882
9.060928,-1.56,0.147636,-3.17065238562561
9.065664,-1.144,0.146286,-3.1730085801158
9.0704,-0.806,0.144738,-3.17457937644259
9.074944,-0.364,0.143118,-3.17693557093278
9.079488,0.208,0.14148,-3.18007716358636
9.083904,0.598,0.140004,-3.18243335807654
9.088448,1.014,0.138726,-3.18321875623994
9.093056,1.56,0.137718,-3.18478955256672
9.097664,1.82,0.137142,-3.18557495073012
9.102208,1.846,0.136998,-3.18400415440333
9.106816,1.794,0.137286,-3.18400415440333
9.111424,1.794,0.13797,-3.18086256174975
9.116032,1.534,0.13905,-3.17693557093278
9.12064,1.066,0.140328,-3.17536477460599
9.12512,0.624,0.141786,-3.17143778378901
9.1296,0.208,0.143316,-3.16593999664525
9.13408,-0.13,0.144846,-3.16279840399166
9.138688,-0.754,0.146196,-3.15965681133809
9.14336,-1.144,0.147348,-3.15494442235771
9.14816,-1.508,0.148248,-3.15258822786753
9.15296,-1.716,0.148626,-3.15023203337734
9.157696,-2.054,0.148536,-3.14944663521395
9.162496,-2.048,0.148014,-3.14944663521395
9.167232,-1.56,0.14715,-3.14944663521395
9.172032,-1.248,0.145908,-3.15180282970414
9.176704,-0.806,0.144468,-3.15337362603092
9.181312,-0.494,0.142938,-3.15494442235771
9.185728,0,0.141372,-3.1573006168479
9.190016,0.52,0.13995,-3.15965681133809
9.194496,1.04,0.138654,-3.15965681133809
9.199104,1.28,0.137592,-3.16201300582827
9.203712,1.638,0.136908,-3.16279840399166
9.20832,1.768,0.136728,-3.16044220950148
9.212928,1.872,0.136908,-3.16044220950148
9.217536,1.898,0.13752,-3.1580860150113
9.222144,1.56,0.138564,-3.15337362603092
9.226688,1.17,0.139752,-3.15101743154074
9.231232,0.91,0.141192,-3.14709044072377
9.235648,0.364,0.14274,-3.14159265358
9.240192,-0.026,0.144252,-3.13845106092642
9.244672,-0.624,0.145638,-3.13452407010945
9.249408,-1.066,0.146844,-3.12981168112907
9.254144,-1.536,0.147816,-3.12745548663889
9.258944,-1.664,0.14832,-3.1258846903121
9.26368,-1.976,0.148338,-3.12431389398531
9.26848,-1.898,0.147924,-3.12352849582192
9.273216,-1.612,0.147168,-3.12352849582192
9.278016,-1.274,0.146016,-3.1250992921487
9.282688,-0.858,0.144594,-3.12745548663889
9.287296,-0.546,0.1431,-3.12902628296568
9.291712,0.026,0.141588,-3.13138247745586
9.296064,0.416,0.140112,-3.13373867194605
9.300608,0.858,0.138798,-3.13452407010945
9.305088,1.378,0.137772,-3.13609486643624
9.309696,1.69,0.137034,-3.13688026459963
9.314304,1.768,0.136836,-3.13452407010945
9.318912,1.898,0.136962,-3.13373867194605
9.32352,1.794,0.137556,-3.13295327378265
9.328128,1.508,0.138528,-3.12745548663889
9.332736,1.196,0.139734,-3.1258846903121
9.337216,0.858,0.141138,-3.12195769949512
9.341632,0.312,0.14265,-3.11645991235136
9.346176,-0.052,0.144162,-3.11331831969778
9.350656,-0.624,0.145548,-3.1101767270442
9.355392,-0.988,0.146718,-3.10624973622722
9.360064,-1.508,0.147654,-3.10310814357364
9.3648,-1.664,0.148122,-3.10153734724685
9.3696,-2.132,0.148122,-3.10075194908346
9.3744,-1.872,0.147672,-3.10075194908346
9.379136,-1.82,0.146916,-3.10075194908346
9.383936,-1.3,0.145746,-3.10310814357364
9.388608,-0.884,0.144324,-3.10467893990043
9.393216,-0.416,0.142812,-3.10703513439062
9.397632,0.078,0.141282,-3.10939132888081
9.401984,0.494,0.139806,-3.11174752337099
9.406528,0.988,0.138528,-3.11253292153438
9.411008,1.378,0.137502,-3.11410371786117
9.415616,1.716,0.136818,-3.11567451418796
9.420224,1.846,0.136638,-3.11410371786117
9.424832,1.898,0.136818,-3.11410371786117
9.42944,1.792,0.137448,-3.11174752337099
9.434048,1.534,0.138474,-3.10782053255401
9.438592,1.222,0.139716,-3.10546433806383
9.443136,0.832,0.141174,-3.10310814357364
9.447552,0.286,0.142686,-3.09761035642988
9.452096,-0.156,0.144216,-3.0944687637763
9.456704,-0.832,0.145584,-3.09211256928611
9.461376,-1.092,0.146718,-3.08818557846914
9.466176,-1.56,0.1476,-3.08582938397896
9.470912,-1.792,0.14796,-3.08425858765217
9.475712,-1.976,0.147888,-3.08347318948877
9.480448,-1.924,0.147366,-3.08425858765217
9.485248,-1.534,0.14652,-3.08582938397896
9.489984,-1.222,0.14535,-3.08818557846914
9.49472,-0.78,0.14391,-3.09054177295932
9.499328,-0.416,0.142398,-3.09289796744951
9.503808,0.052,0.140868,-3.0952541619397
9.50816,0.624,0.139464,-3.09918115275667
9.512704,1.04,0.138258,-3.09918115275667
9.517248,1.534,0.13734,-3.10153734724685
9.521856,1.742,0.136782,-3.10232274541025
9.526464,1.846,0.136746,-3.10153734724685
9.531072,2.002,0.13707,-3.10232274541025
9.53568,1.716,0.137826,-3.09918115275667
9.540288,1.404,0.138924,-3.09603956010309
9.544896,1.014,0.140148,-3.0952541619397
9.549376,0.676,0.141624,-3.09132717112272
9.553728,0.156,0.143082,-3.08740018030575
9.558272,-0.312,0.144504,-3.08582938397896
9.562944,-0.936,0.145746,-3.08347318948877
9.567616,-1.43,0.146718,-3.07954619867179
9.572416,-1.664,0.147384,-3.07954619867179
9.577152,-1.82,0.147492,-3.07954619867179
9.581952,-1.846,0.147132,-3.07954619867179
9.586752,-1.742,0.146412,-3.08111699499858
9.591488,-1.536,0.14535,-3.08347318948877
9.596288,-1.118,0.143892,-3.08740018030575
9.60096,-0.702,0.142344,-3.09054177295932
9.605376,-0.026,0.140832,-3.09289796744951
9.609856,0.416,0.139284,-3.09682495826648
9.614272,0.78,0.137916,-3.09996655092007
9.618752,1.28,0.136818,-3.10232274541025
9.62336,1.586,0.136026,-3.10310814357364
9.627968,1.768,0.135702,-3.10389354173704
9.632576,1.872,0.13581,-3.10467893990043
9.637184,1.924,0.136386,-3.10310814357364
9.641792,1.534,0.137322,-3.10232274541025
9.6464,1.222,0.138546,-3.09996655092007
9.65088,0.78,0.139932,-3.09682495826648
9.655296,0.364,0.141408,-3.0944687637763
9.65984,-0.104,0.142866,-3.09289796744951
9.664448,-0.768,0.144216,-3.09054177295932
9.66912,-1.118,0.14535,-3.08818557846914
9.67392,-1.508,0.146106,-3.08582938397896
9.678656,-1.82,0.14643,-3.08582938397896
9.683456,-1.742,0.14634,-3.08818557846914
9.688192,-1.82,0.145782,-3.08818557846914
9.692992,-1.586,0.144918,-3.09132717112272
9.697792,-1.196,0.143694,-3.0952541619397
9.702464,-0.858,0.142236,-3.09839575459328
9.707072,-0.182,0.140778,-3.10153734724685
9.711552,0.286,0.139302,-3.10546433806383
9.715968,0.78,0.138024,-3.10782053255401
9.720512,1.196,0.136944,-3.11253292153438
9.72512,1.56,0.136206,-3.11253292153438
9.729728,1.794,0.135936,-3.11331831969778
9.734336,2.002,0.136044,-3.11567451418796
9.738944,1.716,0.136692,-3.11410371786117
9.743488,1.612,0.137682,-3.11174752337099
9.748096,1.3,0.138942,-3.11174752337099
9.75264,0.832,0.1404,-3.10939132888081
9.757056,0.256,0.141966,-3.10624973622722
9.7616,-0.104,0.143514,-3.10389354173704
9.766208,-0.65,0.144954,-3.10153734724685
9.77088,-1.066,0.146178,-3.10075194908346
9.775616,-1.534,0.14706,-3.09839575459328
9.780416,-1.716,0.147528,-3.09839575459328
9.785216,-1.846,0.147492,-3.10075194908346
9.789952,-1.768,0.147042,-3.10153734724685
9.794752,-1.638,0.146232,-3.10467893990043
9.799488,-1.196,0.145098,-3.10782053255401
9.80416,-0.962,0.143658,-3.11174752337099
9.808768,-0.26,0.142218,-3.11645991235136
9.813312,0.182,0.140742,-3.12038690316833
9.817728,0.806,0.139392,-3.12274309765852
9.822272,1.17,0.138294,-3.1258846903121
9.82688,1.638,0.137484,-3.12824088480229
9.831424,1.82,0.137124,-3.12981168112907
9.836032,2.002,0.137178,-3.13059707929247
9.84064,1.768,0.137646,-3.13216787561926
9.845248,1.638,0.138546,-3.12981168112907
9.849856,1.144,0.13968,-3.12902628296568
9.8544,0.988,0.140994,-3.12902628296568
9.858816,0.39,0.142452,-3.1258846903121
9.863296,-0.104,0.143928,-3.12274309765852
9.867904,-0.624,0.145278,-3.12274309765852
9.872576,-1.28,0.146412,-3.12117230133173
9.877376,-1.612,0.147276,-3.12038690316833
9.882176,-1.768,0.147618,-3.12117230133173
9.886912,-1.924,0.147492,-3.12117230133173
9.891712,-1.82,0.14697,-3.12431389398531
9.896448,-1.508,0.14607,-3.1266700884755
9.901248,-1.274,0.144864,-3.13059707929247
9.90592,-0.728,0.143424,-3.13530946827284
9.910528,-0.13,0.141912,-3.13923645908981
9.915072,0.26,0.140436,-3.14394884807019
9.919488,0.936,0.139122,-3.14709044072377
9.923968,1.222,0.138042,-3.15023203337734
9.928576,1.534,0.137286,-3.15258822786753
9.933184,1.82,0.136962,-3.15415902419432
9.937792,2.054,0.13707,-3.15494442235771
9.9424,1.872,0.137556,-3.1565152186845
9.947008,1.482,0.138474,-3.15415902419432
9.951616,1.118,0.139608,-3.15337362603092
9.956096,0.936,0.140904,-3.15180282970414
9.960576,0.26,0.142326,-3.15101743154074
9.965056,-0.234,0.143712,-3.14787583888716
9.969664,-0.78,0.144936,-3.14787583888716
9.974336,-1.248,0.145908,-3.14630504256037
9.979136,-1.482,0.146592,-3.14551964439697
9.983872,-2.048,0.146826,-3.14630504256037
9.988672,-1.872,0.146556,-3.14866123705055
9.993472,-1.768,0.14589,-3.15023203337734
9.998208,-1.482,0.144936,-3.15258822786753
10.003008,-1.066,0.143694,-3.1573006168479
10.007808,-0.598,0.1422,-3.16201300582827
