204 870 833.209 645 640.357 405 418.452 200 209.164 
206 845 834.372 645 641.257 425 419.032 195 209.451 
208 875 835.501 660 642.13 415 419.596 210 209.729 
210 850 836.596 650 642.976 400 420.143 195 209.999 
212 885 837.658 650 643.797 415 420.673 210 210.261 
214 865 838.688 665 644.594 405 421.187 195 210.515 
216 875 839.688 630 645.367 425 421.686 200 210.761 
218 880 840.657 670 646.116 415 422.17 195 211 
220 880 841.597 670 646.843 410 422.639 200 211.232 
222 890 842.51 655 647.548 405 423.095 205 211.457 
224 895 843.394 680 648.233 400 423.536 200 211.675 
226 870 844.252 645 648.896 415 423.965 205 211.887 
228 895 845.085 665 649.54 420 424.38 195 212.092 
230 880 845.892 680 650.164 410 424.783 200 212.291 
232 905 846.676 660 650.77 400 425.174 200 212.484 
234 885 847.435 670 651.357 400 425.554 205 212.671 
236 895 848.172 685 651.927 425 425.922 200 212.853 
238 885 848.887 655 652.479 435 426.278 195 213.029 
240 895 849.58 670 653.016 415 426.625 195 213.2 
242 910 850.253 680 653.536 410 426.96 205 213.366 
244 900 850.905 665 654.04 400 427.286 210 213.527 
246 905 851.538 675 654.529 430 427.602 210 213.683 
248 885 852.152 685 655.004 415 427.908 205 213.834 
250 900 852.748 660 655.464 420 428.206 205 213.981 
252 890 853.325 675 655.911 415 428.494 200 214.123 
254 905 853.885 675 656.344 405 428.774 205 214.261 
256 910 854.429 670 656.764 425 429.045 210 214.395 
258 905 854.956 690 657.172 415 429.308 195 214.525 
260 915 855.467 690 657.567 420 429.563 200 214.651 
262 910 855.963 675 657.951 420 429.811 200 214.773 
264 920 856.444 690 658.323 415 430.051 215 214.892 
266 905 856.911 675 658.683 415 430.284 210 215.007 
268 920 857.364 685 659.033 420 430.51 200 215.119 
270 905 857.803 705 659.373 430 430.729 190 215.227 
272 915 858.229 685 659.702 405 430.942 205 215.332 
274 920 858.642 700 660.022 415 431.148 205 215.434 
276 925 859.043 685 660.332 420 431.348 205 215.532 
278 930 859.431 680 660.632 430 431.542 195 215.628 
280 910 859.808 690 660.924 420 431.73 190 215.721 
282 925 860.174 690 661.206 415 431.913 200 215.811 
284 935 860.529 690 661.481 420 432.09 205 215.899 
286 940 860.873 710 661.747 415 432.262 220 215.984 
288 920 861.207 700 662.005 420 432.429 210 216.066 
290 925 861.531 680 662.255 415 432.59 200 216.146 
292 910 861.845 690 662.498 405 432.747 195 216.223 
294 910 862.149 695 662.734 420 432.899 200 216.298 
296 920 862.445 685 662.962 410 433.047 210 216.371 
298 915 862.732 715 663.184 420 433.19 215 216.442 
300 930 863.01 730 663.399 415 433.329 200 216.51 
302 940 863.279 690 663.607 415 433.463 190 216.577 
304 945 863.541 690 663.81 420 433.594 210 216.641 
306 930 863.795 695 664.006 415 433.72 210 216.704 
308 935 864.041 680 664.196 425 433.843 205 216.765 
310 920 864.28 705 664.381 415 433.963 200 216.823 
312 925 864.511 715 664.56 420 434.078 190 216.881 
314 935 864.736 710 664.734 410 434.19 205 216.936 
316 940 864.954 695 664.902 410 434.299 200 216.99 
318 955 865.165 715 665.065 415 434.405 200 217.042 
320 945 865.37 700 665.224 430 434.507 200 217.092 
322 935 865.569 695 665.378 410 434.606 190 217.141 
324 915 865.762 730 665.527 420 434.703 195 217.189 
326 935 865.949 725 665.672 410 434.796 205 217.235 
328 935 866.131 705 665.812 435 434.887 205 217.28 
330 940 866.307 710 665.948 420 434.975 205 217.323 
332 940 866.478 700 666.08 420 435.06 200 217.365 
334 935 866.643 700 666.208 415 435.143 200 217.406 
336 935 866.804 725 666.333 420 435.223 190 217.446 
338 920 866.96 725 666.453 420 435.301 200 217.484 
340 925 867.111 710 666.57 430 435.376 210 217.521 
342 930 867.258 730 666.683 410 435.449 195 217.558 
344 945 867.4 715 666.793 430 435.52 190 217.593 
346 945 867.538 700 666.9 415 435.589 205 217.627 
348 960 867.672 725 667.004 430 435.656 200 217.66 
350 945 867.802 720 667.104 430 435.721 210 217.692 
352 930 867.928 700 667.201 435 435.784 200 217.723 
354 930 868.05 730 667.296 425 435.845 190 217.753 
356 925 868.168 725 667.387 425 435.904 200 217.782 
358 945 868.283 695 667.476 420 435.961 200 217.81 
360 955 868.395 715 667.563 430 436.017 210 217.838 
362 975 868.503 725 667.646 415 436.071 195 217.865 
364 955 868.608 700 667.727 430 436.123 190 217.89 
366 940 868.71 715 667.806 420 436.174 185 217.916 
368 930 868.808 730 667.882 445 436.223 205 217.94 
370 940 868.904 705 667.956 420 436.271 210 217.963 
372 935 868.997 715 668.028 425 436.318 205 217.986 
374 940 869.087 725 668.098 435 436.362 200 218.009 
376 940 869.174 715 668.165 435 436.406 200 218.03 
378 950 869.259 725 668.231 430 436.448 195 218.051 
380 960 869.341 715 668.294 430 436.489 205 218.071 
382 935 869.421 730 668.356 430 436.529 190 218.091 
