0,-746,1,270,-4995
4480,-832,-294,270,-4995
8832,-844,-442,216,-4950
13184,-741,-400,126,-4860
17664,-762,-315,-18,-4815
22080,-716,-336,-198,-4770
26624,-672,-294,-414,-4680
31168,-724,-294,-648,-4635
35712,-668,-336,-900,-4545
40192,1038,-358,1580,-4500
44736,-606,571,1292,-4365
49216,-396,-294,1220,-4230
53696,-757,-231,932,-4365
58176,-516,-379,806,-4185
62592,-609,-252,680,-4140
67072,-787,-252,500,-4140
71488,-521,-273,302,-4050
75968,-666,-294,122,-4005
80384,1229,-358,2960,-3915
84928,-565,613,2726,-3870
89344,-403,-210,2708,-3735
93888,-681,-210,2564,-3870
98432,-528,-400,2492,-3690
102976,-556,-294,2474,-3690
107584,-681,-358,2384,-3645
112192,-490,-252,2258,-3600
116800,-626,-231,2150,-3555
121472,1255,-315,5078,-3465
126080,-567,592,4952,-3465
130624,192,-252,5024,-3375
135168,-643,64,4952,-3465
139584,80,-315,4970,-3330
144064,88,43,5006,-3330
148288,-17,22,5024,-3330
152640,144,-20,5042,-3285
157120,-7,127,5078,-3285
161472,1301,127,8168,-3240
166016,60,656,8222,-3240
170368,196,22,8438,-3150
174720,-30,85,8528,-3285
179072,-1,-20,8672,-3240
183424,99,43,8924,-3195
187712,-178,22,9032,-3285
192128,50,-83,9176,-3240
196544,-15,1,9284,-3240
200768,1098,22,12160,-3240
205312,104,571,12286,-3195
209856,88,106,12502,-3195
214272,-117,43,12628,-3330
218816,11,-41,12790,-3240
223296,-95,22,12952,-3285
227712,-165,-20,13078,-3330
232384,13,-83,13132,-3285
236800,-143,-20,13186,-3330
241408,1137,-20,16276,-3285
246080,-41,550,16312,-3330
250560,9,1,16456,-3285
254784,-39,1,16492,-3330
259136,-150,1,16528,-3375
263552,-61,-41,16654,-3375
268096,-155,22,16672,-3375
272640,-727,-62,16672,-3375
277312,-737,-379,16654,-3420
281984,944,-358,19582,-3465
286656,-766,423,19474,-3420
291264,8,-506,19492,-3330
295680,-864,1,19312,-3510
300160,-583,-442,19276,-3375
304832,-784,-294,19132,-3465
309568,-819,-442,19006,-3420
314304,-662,-400,18790,-3420
318976,-877,-336,18538,-3465
323712,1135,-442,21304,-3330
328448,-814,550,20926,-3420
333056,-590,-400,20854,-3330
337728,-871,-210,20494,-3510
342464,-810,-379,20242,-3375
347200,-673,-400,20098,-3375
351872,-951,-315,19774,-3465
356608,-701,-484,19450,-3420
361344,1171,-379,22858,-3420
366016,-772,634,22570,-3375
370624,-626,-252,22408,-3375
375360,-906,-294,22066,-3510
380032,-739,-442,21886,-3420
384768,-963,-379,21670,-3555
389504,-876,-484,21400,-3465
394176,-826,-484,21022,-3510
398912,-977,-421,20644,-3555
403648,964,-463,23266,-3510
408256,-966,487,22798,-3555
412864,-645,-484,22600,-3420
417600,-992,-336,22078,-3645
422272,-814,-506,21736,-3510
427008,-846,-463,21466,-3600
431744,-1058,-358,21016,-3600
436544,-757,-463,20584,-3555
441216,711,-358,23062,-3645
445824,-922,402,22612,-3645
450496,-692,-484,22324,-3510
455168,-1051,-336,21802,-3690
459968,-814,-527,21352,-3600
464704,-1036,-442,20902,-3780
469504,-1060,-548,20470,-3690
474304,-919,-569,19912,-3690
479040,-1159,-463,19264,-3780
483840,783,-611,21670,-3780
488448,-1068,381,21022,-3780
493120,-737,-506,20662,-3600
497856,-1177,-358,19888,-3915
502656,-1023,-590,19222,-3825
507456,-880,-527,18664,-3735
512128,-1271,-506,18034,-3870
516992,-958,-590,17314,-3870
521664,525,-463,19146,-3870
526272,-1061,275,18408,-3780
531008,-841,-527,17850,-3780
535744,-1166,-442,17004,-3960
540480,-958,-590,16140,-3780
545216,-1239,-569,15222,-3915
550016,-1110,-675,14502,-3870
554816,-947,-548,13566,-3825
559552,-1212,-548,12450,-3825
564352,643,-675,14280,-3825
568960,-1082,317,13272,-3825
573632,-764,-506,12498,-3600
578368,-1275,-400,11238,-3870
583168,-1111,-675,9978,-3735
587904,-969,-569,8970,-3690
592512,-1226,-421,7962,-3690
597248,-1007,-590,6738,-3690
601920,511,-442,8280,-3690
606464,-1125,254,7002,-3600
611072,-942,-527,6048,-3555
615744,-1238,-484,4752,-3690
620416,-1046,-632,3240,-3465
625152,-1232,-527,1782,-3555
629824,-1146,-653,558,-3510
634496,-888,-611,-810,-3375
639104,-1206,-442,-2484,-3330
643904,707,-611,-1248,-3240
648512,-962,360,-2706,-3240
653184,-907,-442,-3930,-3150
657856,-1118,-463,-5712,-3105
662656,-1214,-653,-7512,-3105
667456,-1077,-632,-8934,-3105
672256,-961,-569,-10500,-2880
677056,-1127,-527,-12372,-2880
681920,400,-590,-11620,-2925
686656,-802,191,-13330,-2655
691392,-897,-315,-14788,-2610
696192,-1172,-463,-16696,-2700
701056,-975,-548,-18784,-2520
705856,-1274,-463,-20440,-2655
710720,-957,-653,-22132,-2340
715520,-969,-506,-24238,-2295
720320,456,-675,-23344,-2385
725056,-727,233,-25234,-2115
729728,-978,-315,-26872,-2115
734528,-1140,-442,-28834,-2115
739456,-840,-590,-31120,-1845
744256,-1215,-463,-33028,-2025
749120,-872,-611,-34738,-1800
753920,-904,-379,-36952,-1665
758720,-1271,-421,-39220,-1710
763584,994,-632,-38380,-1440
768320,-944,550,-40342,-1485
772992,-668,-421,-42034,-1215
777792,-1082,-273,-44536,-1350
782720,-1095,-463,-46768,-1215
787584,-705,-484,-48604,-1035
792384,-1105,-315,-50728,-1035
797248,-833,-590,-53086,-855
801984,812,-400,-52426,-810
806592,-905,423,-54442,-720
811200,-554,-463,-56260,-495
815936,-978,-358,-58546,-540
820672,-882,-506,-60868,-405
825344,-881,-484,-62902,-405
830080,-878,-400,-64864,-225
834816,-814,-421,-67060,-135
839488,-1101,-421,-69454,-180
844288,901,-548,-69008,90
848768,-764,508,-70970,135
853312,-598,-315,-72824,315
857920,-808,-294,-75200,270
862528,1314,-358,-73468,450
867200,-616,656,-75322,540
871744,-598,-252,-77014,675
876352,-896,-358,-79174,540
880960,-850,-611,-81262,720
885568,-759,-421,-83134,810
890240,-843,-421,-84844,810
894848,-501,-442,-86752,1035
899584,-973,-294,-89110,945
904192,979,-548,-88126,1080
908800,-589,423,-89908,1170
913408,-661,-252,-91654,1305
918144,-781,-336,-93850,1260
922816,-721,-315,-95902,1395
927552,-648,-336,-97648,1440
932288,-764,-252,-99448,1485
936960,-627,-358,-101428,1620
941760,870,-273,-100660,1620
946496,-580,465,-102586,1800
