1  	1	8	
2  	7	7	
3  	29	27	
4  	40	36	
5  	40	36	
6  	36	39	
7  	33	35	
8  	36	30	
9  	39	40	
10 	50	41	
11 	50	51	
12 	47	50	
13 	45	45	
14 	53	51	
15 	57	53	
16 	59	55	
17 	61	56	
18 	59	60	
19 	61	61	
20 	64	65	
21 	69	67	
22 	72	67	
23 	75	67	
24 	73	75	
25 	73	75	
26 	75	77	
27 	78	79	
28 	80	75	
29 	82	79	
30 	84	82	
31 	86	84	
32 	87	90	
33 	90	86	
34 	96	89	
35 	95	93	
36 	95	96	
37 	96	98	
38 	100	96	
39 	102	100	
40 	102	102	
41 	102	105	
42 	109	104	
43 	111	107	
44 	112	109	
45 	110	114	
46 	115	114	
47 	119	116	
48 	113	117	
49 	123	116	
50 	117	119	
51 	125	120	
52 	121	125	
53 	125	125	
54 	128	122	
55 	122	127	
56 	134	126	
57 	131	130	
58 	134	134	
59 	134	131	
60 	134	135	
61 	139	137	
62 	139	135	
63 	138	138	
64 	141	140	
65 	145	138	
66 	140	145	
67 	145	144	
68 	148	145	
69 	148	143	
70 	150	147	
71 	150	149	
72 	152	148	
73 	150	152	
74 	154	151	
75 	155	149	
76 	156	154	
77 	158	157	
78 	154	155	
79 	155	155	
80 	156	153	
81 	158	157	
82 	161	155	
83 	160	158	
84 	159	161	
85 	162	163	
86 	162	159	
87 	167	161	
88 	164	162	
89 	163	166	
90 	165	165	
91 	164	163	
92 	170	164	
93 	169	167	
94 	168	168	
95 	172	171	
96 	163	165	
97 	172	168	
98 	168	165	
99 	174	172	
100	171	171	
101	171	171	
102	168	170	
103	174	166	
104	169	172	
105	175	171	
106	170	171	
107	177	172	
108	173	171	
109	175	177	
110	176	175	
111	176	174	
112	178	176	
113	179	173	
114	174	177	
115	179	176	
116	176	176	
117	181	178	
118	177	178	
119	179	178	
120	177	175	
121	179	179	
122	182	177	
123	180	182	
124	181	181	
125	177	180	
126	180	176	
127	178	179	
128	181	177	
129	182	179	
130	181	182	
131	183	180	
132	182	184	
133	184	179	
134	181	185	
135	184	176	
136	181	182	
137	183	183	
138	184	179	
139	185	186	
140	186	184	
141	182	185	
142	185	183	
143	187	181	
144	188	182	
145	184	185	
146	185	187	
147	182	185	
148	182	182	
149	184	183	
150	183	182	
151	186	182	
152	188	185	
153	189	186	
154	186	187	
155	187	187	
156	184	185	
157	185	186	
158	187	184	
159	188	185	
160	191	187	
161	189	186	
162	187	191	
163	183	186	
164	187	187	
165	187	183	
166	188	187	
167	188	187	
168	187	188	
169	187	188	
170	184	186	
171	185	186	
172	186	185	
173	189	187	
174	189	187	
175	192	189	
176	189	189	
177	186	190	
178	186	186	
179	185	185	
180	189	186	
181	191	187	
182	195	190	
183	191	190	
184	188	192	
185	186	187	
186	188	187	
187	187	185	
188	188	189	
189	188	189	
190	190	190	
191	192	189	
192	187	187	
193	188	187	
194	187	184	
195	189	188	
196	190	190	
197	191	191	
198	189	190	
199	188	190	
200	188	189	
201	190	185	
202	190	187	
203	192	190	
204	191	192	
205	187	192	
206	190	189	
207	188	186	
208	191	189	
209	190	190	
210	189	187	
211	187	190	
212	188	187	
213	188	190	
214	188	188	
215	189	188	
216	190	186	
217	193	189	
218	189	190	
219	190	191	
220	188	190	
221	186	190	
222	189	190	
223	191	186	
224	195	190	
225	191	191	
226	191	194	
227	187	189	
228	188	189	
229	188	189	
230	188	188	
231	188	188	
232	189	186	
233	189	189	
234	191	186	
235	190	189	
236	189	188	
237	192	192	
238	194	188	
239	192	192	
240	189	188	
241	192	190	
242	189	188	
243	190	189	
244	191	189	
245	191	192	
246	190	192	
247	187	191	
248	190	189	
249	189	186	
250	193	186	
251	188	190	
252	190	191	
253	188	189	
254	189	189	
255	    193	
256	    187	
