time(us),speed(um/sec),reference current(mA),current(mA)
876992,45738,331,286
879744,52272,285,312
882496,52272,285,260
885312,51120,292,260
888064,52272,284,312
890816,52272,283,312
893568,45738,330,260
896384,44730,338,312
899136,58806,238,312
901888,52272,283,260
904640,45738,330,286
907392,39204,378,286
910208,51120,294,390
912960,58806,238,286
915712,52272,283,286
918464,52272,283,286
921280,44730,337,286
924032,52272,284,256
926784,58806,236,312
929536,45738,328,208
932352,51120,290,312
935104,52272,282,312
937856,52272,281,312
940608,52272,280,234
943424,51120,288,286
946176,58806,232,256
948928,52272,277,234
951680,45738,324,312
954496,51120,286,338
957248,65340,183,286
960000,58806,226,156
962752,45738,319,208
965568,51120,281,256
968320,52272,272,312
971072,52272,271,286
973824,45738,318,234
976640,44730,327,312
979392,52272,273,286
982144,52272,273,312
984896,39204,367,260
987712,44730,330,312
990464,52272,276,312
993216,52272,276,286
995968,45738,323,286
998720,45738,324,338
1001536,44730,332,390
1004352,51120,287,312
1007232,49968,295,312
1010112,49968,295,364
1012928,51120,287,286
1015808,49968,295,286
1018688,43722,340,286
1021504,57510,242,338
1024384,49968,295,208
1027264,49968,295,312
1030144,49968,295,286
1032960,51120,286,260
1035840,49968,294,286
1038720,56214,249,338
1041536,57510,238,208
1044416,56214,245,208
1047296,49968,289,208
1050112,51120,281,234
1052992,49968,289,286
1055872,49968,289,338
1058688,57510,234,338
1061568,49968,287,260
1064448,43722,332,286
1067264,44730,327,338
1070144,43722,335,312
1073024,49968,292,338
1075840,51120,283,338
1078720,49968,291,338
1081600,43722,337,260
1084480,49968,293,312
1087296,44730,331,286
1090176,49968,294,338
1093056,56214,249,338
1095872,51120,284,260
1098752,43722,338,234
1101632,43722,340,338
1104448,51120,288,312
1107328,49968,296,256
1110208,56214,250,260
1113024,57510,239,260
1115904,49968,292,0
1118592,53568,266,234
1121472,49968,291,208
1124352,56214,246,286
1127168,57510,235,234
1130048,56214,242,208
1132928,49968,286,260
1135744,44730,324,312
1138624,49968,287,260
1141504,56214,242,234
1144320,57510,231,234
1147200,43722,329,130
1150080,49968,285,286
1152960,56214,240,364
1155776,57510,229,260
1158656,49968,281,182
1161536,49968,281,286
1164352,51120,273,338
1167232,43722,327,312
1170112,43722,328,338
1172928,51120,276,312
1175808,56214,239,312
1178688,49968,283,260
1181504,38340,367,234
1184384,49968,286,416
1187264,62460,195,312
1190080,51120,274,234
1192960,49968,282,260
1195840,49968,282,260
1198656,57510,227,312
1201536,43722,326,312
1204416,43722,327,338
1207296,56214,238,338
1210112,63900,181,312
1212992,43722,324,182
1215872,43722,325,286
1218688,51120,273,338
1221568,56214,236,260
1224448,49968,280,256
1227328,49968,280,286
1230144,51120,271,286
1233024,49968,279,260
1235904,49968,279,286
1238720,51120,271,286
1241600,56214,234,234
1244480,49968,277,286
1247296,51120,269,312
1250176,43722,322,286
1253056,49968,279,286
1255872,44730,317,286
1258752,49968,280,312
1261632,43722,326,286
1264448,44730,320,338
1267328,49968,283,390
1270208,43722,329,260
1273024,44730,323,312
1275904,56214,241,260
1278784,56214,239,260
1281664,49968,283,286
1284480,44730,321,312
1287360,49968,284,260
1290176,51120,276,312
1293056,49968,284,312
1295936,56214,239,260
1298816,49968,282,234
1301632,44730,320,286
1304512,43722,329,260
1307392,56214,240,312
1310208,57510,229,182
1313088,56214,236,260
1315968,43722,326,260
1318784,51120,273,338
1321664,56214,236,260
1324544,49968,280,260
1327424,49968,280,234
1330240,51120,272,286
1333120,56214,234,312
1336000,49968,278,260
1338816,44730,316,286
1341696,56214,234,286
