time(us),speed(um/sec),reference current(mA),current(mA)
13611584,61020,228,0
13614400,51120,297,208
13617344,61020,225,286
13620288,48816,311,234
13623232,48816,311,312
13626176,48816,311,338
13629120,42714,356,312
13632128,47808,321,364
13635072,54918,270,312
13638016,42714,357,286
13640960,48816,315,364
13643904,48816,315,338
13646848,54918,271,312
13649856,47808,322,260
13652800,48816,315,364
13655744,54918,271,312
13658688,54918,269,312
13661632,54918,268,312
13664576,42714,355,312
13667584,47808,320,364
13670528,48816,314,364
13673472,54918,270,338
13676416,48816,313,312
13679360,48816,313,338
13682304,42714,358,286
13685312,53784,279,338
13688256,54918,270,338
13691200,48816,313,312
13694144,42714,358,286
13697088,48816,315,390
13700032,54918,271,338
13703040,53784,278,286
13705984,61020,224,260
13708928,48816,310,234
13711872,54918,266,260
13714816,54918,265,312
13717824,53784,272,234
13720768,54918,262,286
13723712,48816,305,260
13726656,42714,350,312
13729600,48816,308,338
13732544,54918,264,312
13735552,47808,314,260
13738496,48816,307,286
13741440,42714,352,286
13744384,36612,398,390
13747328,48816,313,390
13750272,48816,314,338
13753216,48816,314,338
13756224,53784,278,312
13759168,42714,358,260
13762112,48816,315,390
13765056,48816,315,286
13768000,48816,316,312
13770944,48816,316,338
13773952,41832,367,256
13776896,36612,408,364
13779840,48816,322,442
13782784,54918,278,286
13785728,48816,321,286
13788672,54918,277,364
13791616,54918,276,286
13794624,53784,283,234
13797568,61020,229,312
13800512,67122,182,234
13803456,61020,221,182
13806464,53784,271,156
13809408,54918,262,260
13812352,48816,305,208
13815296,54918,261,338
13818240,48816,304,260
13821184,42714,348,364
13824192,41832,357,390
13827136,48816,308,338
13830080,48816,309,260
13833024,48816,309,312
13835968,42714,354,312
13838912,42714,356,338
13841856,48816,313,338
13844864,47808,321,364
13847808,42714,359,260
13850752,48816,316,312
13853696,42714,361,364
13856640,48816,319,364
13859584,61020,230,312
13862592,47808,323,260
13865536,42714,361,260
13868480,54918,274,312
13871424,48816,317,256
13874368,48816,318,286
13877312,54918,273,260
13880256,48816,316,260
13883264,47808,324,312
13886208,61020,229,312
13889152,61020,226,286
13892096,54918,267,234
13895040,54918,266,338
13898048,53784,272,364
13900992,54918,263,234
13903936,61020,217,286
13906880,48816,303,260
13909824,48816,303,286
13912832,53784,268,260
13915776,48816,303,286
13918720,54918,259,260
13921664,42714,346,312
13924608,48816,304,364
13927552,48816,304,390
13930496,48816,304,286
13933504,47808,312,260
13936448,48816,305,286
13939392,42714,350,260
13942336,54918,263,338
13945280,54918,262,286
13948224,48816,305,286
13951232,47808,313,286
13954176,48816,306,286
13957120,54918,262,260
13960064,48816,305,286
13963008,48816,305,338
13965952,42714,350,312
13968960,53784,271,338
13971904,48816,306,256
13974848,48816,307,260
13977792,48816,307,286
13980736,48816,307,286
13983680,54918,263,260
13986624,54918,262,364
13989632,47808,312,286
13992576,48816,306,286
13995520,54918,262,286
13998464,61020,216,286
14001408,48816,302,234
14004352,48816,302,286
14007360,47808,310,256
14010304,48816,303,338
14013248,54918,259,312
14016192,42714,346,260
14019136,48816,304,312
14022080,48816,304,286
14025088,47808,312,234
14028032,48816,305,260
14030976,48816,305,312
14033920,42714,350,338
14036864,42714,352,312
14039808,54918,265,312
14042752,48816,308,286
14045760,41832,360,286
14048704,48816,311,364
14051648,42714,356,312
14054592,48816,313,364
14057536,48816,314,286
14060480,42714,358,364
14063424,48816,316,390
14066432,59760,237,286
14069376,48816,314,286
14072320,48816,314,312
14075264,61020,225,260
14078208,54918,267,208
14081152,54918,265,312
14084160,47808,316,286
14087104,54918,265,390
14090048,54918,263,256
14092992,54918,262,260
14095936,48816,305,286
14098944,53784,269,286
14101888,48816,304,260
14104832,48816,305,286
14107776,54918,261,338
14110720,48816,304,260
14113664,48816,304,312
14116672,47808,312,286
14119616,48816,305,286
14122560,42714,350,286
14125504,48816,307,338
14128448,42714,352,338
14131392,42714,354,286
14134336,48816,312,338
14137344,41832,363,364
14140288,48816,314,364
14143232,48816,314,256
14146176,54918,270,338
14149120,48816,313,260
14152064,54918,269,338
14155008,48816,312,312
14158016,47808,320,286
14160960,54918,269,338
14163904,54918,268,260
14166848,48816,311,312
14169792,48816,311,286
14172736,48816,311,312
14175744,53784,275,286
14178688,54918,266,286
14181632,54918,265,338
14184576,61020,219,260
14187520,48816,305,234
14190528,47808,312,312
14193472,54918,261,256
14196416,54918,260,312
14199360,42714,347,256
14202304,48816,305,312
14205248,54918,261,286
14208256,47808,311,208
14211200,48816,305,286
14214144,42714,349,260
14217088,48816,307,364
14220032,42714,352,338
14222976,48816,309,286
14225920,42714,354,338
14228928,53784,275,338
14231872,48816,311,312
14234816,48816,311,312
14237760,54918,267,286
14240704,48816,310,260
14243648,54918,266,312
14246656,47808,316,312
14249600,48816,309,338
14252544,48816,310,286
14255488,48816,310,312
14258432,48816,310,256
14261376,54918,266,312
14264384,53784,273,286
14267328,48816,308,286
14270272,48816,309,312
14273216,54918,265,312
14276160,54918,263,234
14279104,54918,262,286
14282112,47808,312,390
14285056,42714,350,312
14288000,54918,263,338
14290944,48816,306,286
14293888,42714,351,260
14296832,48816,308,338
14299840,41832,360,312
14302784,42714,356,312
14305728,48816,313,390
14308672,54918,269,364
14311616,54918,268,104
14314560,42714,355,312
14317568,41832,364,286
14320512,54918,271,286
14323456,42714,358,312
14326400,42714,360,312
14329344,42714,362,390
14332288,42714,364,286
14335296,47808,329,442
14338240,48816,322,312
14341184,42714,367,286
14344128,48816,325,416
14347072,48816,325,338
14350016,48816,325,260
14352960,54918,281,364
14355968,41832,375,286
14358912,48816,327,338
14361856,61020,238,286
14364800,54918,280,234
14367744,42714,367,234
14370688,48816,325,338
14373696,41832,376,312
14376640,54918,283,364
14379584,54918,281,260
14382528,48816,324,286
14385472,42714,369,260
14388416,48816,327,390
14391424,53784,291,364
14394368,42714,370,286
14397312,48816,328,338
14400256,42714,373,364
14403200,36612,419,390
14406144,42714,379,442
14409088,48816,336,390
14412096,35856,431,390
14415040,36612,429,390
14417984,42714,389,468
14420928,42714,391,338
14423872,42714,393,416
14426816,42714,395,364
14429824,41832,403,390
14432768,48816,355,364
14435712,42714,399,390
14438656,48816,357,390
14441600,54918,313,364
14444544,48816,356,364
14447488,42714,401,390
14450496,41832,409,390
14453440,48816,360,390
14456384,48816,361,390
14459328,48816,361,364
14462272,48816,361,390
14465216,48816,362,338
14468160,54918,318,312
14471168,59760,281,286
14474112,54918,314,286
14477056,54918,312,312
14480000,54918,311,338
14483008,53784,318,338
14485952,48816,353,312
14488896,48816,353,364
14491840,48816,354,390
14494784,42714,398,364
14497728,42714,400,442
14500672,48816,358,442
14503680,47808,366,390
14506624,54918,314,286
14509568,42714,402,338
14512512,48816,359,364
14515456,54918,315,312
14518400,54918,314,312
14521408,47808,364,312
14524352,42714,402,312
14527296,36612,448,338
14530240,48816,363,416
14533184,48816,364,364
14536128,42714,408,256
14539136,41832,417,468
14542080,36612,457,416
14545024,48816,372,416
14547968,54918,328,416
14550912,48816,371,286
14553856,48816,371,442
14556800,42714,416,442
14559808,41832,425,390
14562752,54918,332,442
14565696,48816,375,364
14568640,42714,419,390
14571584,42714,421,442
14574528,48816,379,416
14577536,47808,387,416
14580480,54918,336,364
14583424,54918,334,416
14586368,54918,333,286
14589312,48816,376,364
14592320,47808,384,364
14595264,54918,332,442
14598208,54918,331,416
14601152,48816,374,390
14604096,48816,374,338
14607040,54918,330,416
14610048,47808,381,364
14612992,61020,285,338
14615936,61020,282,312
14618880,54918,324,234
14621824,54918,322,338
14624832,47808,373,364
14627776,54918,321,338
14630720,61020,276,338
14633664,48816,361,312
14636608,48816,362,338
14639552,54918,318,312
14642560,53784,325,286
14645504,54918,315,312
14648448,61020,269,390
14651392,54918,311,234
14654400,59760,274,338
14657344,48816,351,234
14660288,54918,307,286
14663232,61020,261,312
14666176,61020,258,260
14669184,47808,351,234
14672128,54918,300,338
14675072,61020,254,286
14678016,54918,296,260
14680960,54918,294,312
14683968,47808,345,338
14686912,48816,338,338
14689856,54918,294,338
14692800,48816,337,312
14695744,48816,337,312
14698688,48816,338,364
14701632,48816,338,364
14704640,47808,346,286
14707584,54918,295,364
14710528,48816,338,286
14713472,48816,338,256
14716416,54918,294,338
14719360,48816,337,364
14722304,48816,337,338
14725312,47808,345,338
14728256,48816,338,390
14731200,48816,339,312
14734144,42714,383,338
14737088,54918,296,364
14740032,54918,295,286
14743040,53784,302,286
14745984,48816,337,286
14748928,54918,293,312
14751872,54918,292,260
14754816,54918,290,286
14757824,53784,297,390
14760768,54918,288,286
14763712,48816,331,312
14766656,48816,331,234
14769600,61020,243,312
14772544,54918,284,256
14775552,47808,334,286
14778496,42714,372,338
14781440,54918,285,416
14784384,54918,284,338
14787328,48816,327,234
14790336,47808,335,364
14793280,48816,328,364
14796224,48816,328,312
14799168,54918,284,390
14802112,48816,327,312
14805056,42714,372,286
14808000,54918,285,256
14811008,47808,336,312
14813952,48816,329,312
14816896,48816,329,338
14819840,48816,330,256
14822784,48816,330,312
14825728,54918,286,256
14828736,47808,336,286
14831680,54918,285,338
14834624,61020,239,260
14837568,54918,281,286
14840512,54918,279,286
14843520,47808,330,286
14846464,48816,323,312
14849408,54918,279,364
14852352,54918,277,338
14855296,48816,321,260
14858240,54918,276,260
14861248,53784,283,260
14864192,54918,274,312
14867136,54918,273,234
14870080,54918,271,260
14873024,42714,359,286
14876032,41832,367,390
14878976,48816,319,442
14881920,48816,319,364
14884864,48816,319,338
14887808,42714,364,234
14890752,48816,322,338
14893696,48816,322,338
14896704,47808,330,312
14899648,42714,367,256
14902592,48816,325,364
14905536,42714,370,338
14908480,48816,327,390
14911424,42714,372,390
14914368,48816,330,338
14917376,47808,337,256
14920320,54918,286,364
14923264,48816,329,286
14926208,48816,330,260
14929152,54918,285,286
14932096,61020,240,286
14935104,53784,289,234
14938048,48816,324,234
14940992,48816,325,338
14943936,61020,236,208
14946880,54918,278,156
14949888,53784,284,286
14952832,54918,275,338
14955776,54918,274,286
14958720,48816,317,234
14961664,48816,317,286
14964672,53784,281,338
14967616,42714,361,312
14970560,48816,318,338
14973504,48816,319,390
14976448,42714,363,312
14979392,42714,366,286
14982336,48816,323,416
14985344,41832,374,364
14988288,48816,326,390
14991232,48816,326,364
14994176,36612,415,286
14997120,48816,330,364
15000064,48816,330,312
15003008,48816,331,390
15006016,47808,338,286
15008960,48816,332,312
15011904,48816,332,338
15014848,48816,332,338
15017792,54918,288,338
15020736,54918,287,312
15023744,47808,337,286
15026688,48816,331,312
15029632,48816,331,338
15032576,61020,242,312
15035520,54918,284,0
15038336,51120,310,286
15041280,54918,282,260
15044224,54918,281,312
15047168,48816,324,256
15050112,54918,280,338
15053120,53784,287,338
15056064,48816,322,312
15059008,48816,322,260
15061952,48816,322,286
15064896,48816,323,338
15067840,54918,279,256
15070848,47808,329,234
15073792,48816,322,256
15076736,42714,367,338
15079680,42714,369,390
15082624,42714,371,338
15085568,42714,373,338
15088576,47808,338,468
15091520,42714,376,338
15094464,42714,378,364
15097408,48816,335,442
15100352,42714,380,286
15103296,48816,338,312
15106240,48816,338,390
15109248,47808,346,312
15112192,48816,339,338
15115136,54918,295,338
15118080,54918,293,312
15121024,42714,381,338
15123968,48816,339,364
15126976,47808,346,312
15129920,48816,339,364
15132864,48816,340,312
15135808,54918,296,364
15138752,48816,339,256
15141696,54918,295,338
15144704,53784,302,364
15147648,54918,292,286
15150592,61020,246,338
15153536,54918,288,234
15156480,48816,331,312
15159424,54918,287,364
15162432,47808,337,286
15165376,48816,330,338
15168320,54918,286,364
15171264,48816,329,364
15174208,42714,374,364
15177152,48816,332,416
15180160,47808,339,338
15183104,42714,377,312
15186048,48816,335,364
15188992,48816,335,338
15191936,42714,380,286
15194880,48816,337,338
15197824,48816,338,364
15200832,41832,389,338
15203776,42714,385,338
15206720,48816,342,256
15209664,54918,298,390
15212608,48816,341,286
15215552,48816,342,338
15218560,47808,349,338
15221504,42714,387,338
15224448,54918,300,416
15227392,54918,299,338
15230336,48816,342,286
15233280,48816,342,338
15236224,54918,298,260
15239232,59760,262,312
15242176,54918,294,312
15245120,54918,293,234
15248064,54918,291,286
15251072,47808,342,364
15254016,48816,335,312
15256960,54918,291,338
15259904,48816,334,364
15262848,54918,290,312
15265792,54918,289,260
15268800,47808,339,286
15271744,48816,332,286
15274688,42714,377,312
15277632,42714,379,364
15280576,48816,337,364
15283520,42714,381,338
15286464,36612,428,390
15289472,47808,350,442
15292416,48816,343,364
15295360,42714,388,416
15298304,48816,346,338
15301248,48816,346,390
15304192,54918,302,256
15307200,53784,309,286
15310144,48816,344,338
15313088,48816,344,338
15316032,48816,344,338
15318976,48816,345,312
15321920,54918,301,338
15324864,48816,344,364
15327872,53784,308,234
15330816,54918,299,260
15333760,54918,297,286
15336704,54918,296,260
15339648,54918,294,338
15342656,47808,345,234
15345600,54918,294,256
15348544,48816,337,256
15351488,48816,337,390
15354432,54918,293,338
15357440,47808,343,338
15360384,54918,292,338
15363328,54918,291,260
15366272,36612,423,256
15369216,42714,382,416
15372160,54918,295,390
15375168,47808,346,260
15378112,48816,339,312
15381056,42714,384,286
15384000,42714,386,312
15386944,54918,299,390
15389888,54918,298,338
15392896,47808,348,286
15395840,48816,341,312
15398784,48816,342,390
15401728,48816,342,286
15404672,48816,342,416
15407616,54918,298,390
15410560,48816,341,286
15413568,47808,349,312
15416512,48816,342,256
15419456,54918,298,338
15422400,54918,297,260
15425344,54918,295,256
15428352,47808,346,286
15431296,54918,295,286
15434240,54918,293,338
15437184,48816,336,182
15440128,48816,337,338
15443072,54918,292,286
15446080,53784,299,260
15449024,54918,290,338
15451968,54918,289,338
15454912,48816,332,312
15457856,54918,288,260
15460864,41832,382,338
15463808,48816,333,338
15466752,54918,289,312
15469696,48816,332,338
15472640,42714,377,312
15475584,48816,334,364
15478528,48816,335,338
15481536,53784,299,286
15484480,54918,289,312
15487424,48816,333,312
15490368,48816,333,312
15493312,54918,289,364
15496256,54918,287,260
15499264,47808,338,260
15502208,54918,287,364
15505152,48816,330,256
15508096,61020,241,416
15511040,48816,327,234
15514048,47808,335,338
15516992,54918,284,390
15519936,61020,238,312
15522880,54918,279,256
15525824,48816,322,312
15528768,54918,278,312
15531776,53784,285,338
15534720,61020,231,312
15537664,54918,273,286
15540608,54918,271,260
15543552,54918,270,338
15546560,53784,277,208
15549504,54918,267,260
15552448,48816,311,260
15555392,48816,311,260
15558336,48816,311,260
15561344,53784,275,312
15564288,42714,355,286
15567232,48816,312,364
15570176,48816,313,390
15573120,48816,313,312
15576064,54918,269,364
15579072,47808,319,286
15582016,48816,313,338
15584960,48816,313,312
15587904,48816,313,312
15590848,54918,269,312
15593792,54918,268,260
15596800,47808,318,286
15599744,54918,267,286
15602688,48816,310,286
15605632,54918,266,312
15608576,54918,265,260
15611520,48816,308,208
15614528,41832,359,256
15617472,48816,310,442
15620416,54918,266,256
15623360,54918,265,234
15626304,54918,264,208
15629248,48816,307,260
15632256,47808,314,312
15635200,48816,308,256
15638144,48816,308,338
15641088,54918,264,312
15644032,42714,351,312
15646976,36612,398,256
15649920,48816,313,390
15652928,47808,320,416
15655872,48816,314,260
15658816,36612,403,338
15661760,42714,362,256
15664704,48816,320,338
15667648,48816,320,312
15670592,42714,365,416
15673600,47808,330,312
15676544,48816,323,312
15679488,48816,323,312
15682432,54918,279,260
15685376,48816,322,260
15688320,42714,367,416
15691328,47808,332,338
15694272,48816,325,286
15697216,54918,281,260
15700160,48816,324,256
15703104,42714,369,312
15706048,42714,371,364
15708992,54918,284,364
15712000,47808,334,312
15714944,48816,328,364
15717888,48816,328,416
15720832,54918,284,312
15723776,54918,283,312
15726720,54918,281,286
15729728,53784,288,256
15732672,48816,323,338
15735616,48816,324,260
15738560,48816,324,312
15741504,54918,280,312
15744512,41832,374,286
15747456,48816,325,312
15750400,54918,281,364
15753344,48816,324,338
15756288,48816,324,260
15759232,48816,325,338
15762176,48816,325,390
15765184,41832,376,286
15768128,48816,328,364
15771072,54918,284,364
15774016,48816,327,286
15776960,48816,327,364
15779904,54918,283,338
15782912,59760,246,312
15785856,48816,323,208
15788800,54918,279,312
15791744,48816,322,286
15794688,48816,323,260
15797632,48816,323,390
15800640,53784,287,364
15803584,54918,278,286
15806528,48816,321,338
15809472,48816,321,364
15812416,42714,366,338
15815360,54918,279,416
15818368,53784,286,338
15821312,48816,321,286
15824256,48816,321,312
15827200,54918,277,312
15830144,54918,276,286
15833088,61020,230,312
15836096,47808,323,260
15839040,36612,405,234
15841984,42714,365,390
15844928,36612,411,390
15847872,42714,370,416
15850816,36612,417,390
15853824,35856,426,416
15856768,48816,336,390
15859712,48816,336,312
15862656,42714,381,364
15865600,48816,338,338
15868544,48816,339,338
15871488,48816,339,390
15874496,47808,347,338
15877440,48816,340,364
15880384,48816,340,416
15883328,48816,341,338
15886272,42714,385,364
15889216,48816,343,256
15892160,48816,343,312
15895168,47808,351,364
15898112,48816,344,442
15901056,48816,344,312
15904000,48816,345,260
15906944,54918,301,312
15909888,54918,299,338
15912896,47808,350,260
15915840,48816,343,390
15918784,54918,299,390
15921728,54918,298,286
15924672,54918,296,286
15927680,53784,303,312
15930624,48816,338,338
15933568,48816,339,364
15936512,54918,294,364
15939456,48816,338,286
15942400,42714,382,338
15945408,35856,434,416
15948352,42714,388,442
15951296,48816,346,364
15954240,48816,346,390
15957184,48816,347,312
15960128,42714,391,338
15963072,48816,349,364
15966080,47808,357,416
15969024,48816,350,364
15971968,54918,306,416
15974912,48816,349,364
15977856,48816,349,312
15980800,54918,305,364
15983808,53784,312,364
15986752,48816,347,286
15989696,54918,303,364
15992640,48816,346,338
15995584,42714,391,338
15998528,48816,348,442
16001536,53784,312,364
16004480,54918,303,338
16007424,54918,302,286
16010368,42714,389,338
16013312,54918,302,338
16016320,53784,309,312
16019264,61020,256,312
16022208,54918,297,260
16025152,42714,384,312
16028096,54918,298,286
16031104,53784,304,338
16034048,48816,340,312
16036992,48816,340,364
16039936,42714,385,364
16042880,48816,342,312
16045824,48816,343,256
16048768,42714,387,312
16051776,41832,396,364
16054720,48816,347,468
16057664,42714,392,390
16060608,61020,261,312
16063552,54918,302,312
16066496,42714,390,260
16069504,47808,355,416
16072448,54918,303,390
16075392,54918,302,256
16078336,48816,345,260
16081280,42714,390,312
16084288,53784,311,256
16087232,61020,258,312
16090176,48816,343,338
16093120,54918,299,260
16096064,54918,298,286
16099072,47808,348,312
16102016,61020,253,338
16104960,61020,250,260
16107904,48816,335,260
16110848,54918,291,338
16113792,61020,246,234
16116800,53784,295,234
16119744,54918,286,286
16122688,54918,285,286
16125632,54918,283,0
16128448,51120,309,312
16131392,48816,326,338
16134336,61020,237,364
16137280,48816,323,364
16140288,35856,418,286
16143232,42714,372,364
16146176,42714,374,416
16149120,42714,376,364
16152064,48816,334,364
16155008,36612,423,390
16157952,48816,338,312
16160960,53784,302,286
16163904,48816,337,312
16166848,61020,248,286
16169792,48816,334,260
16172736,48816,334,312
16175680,54918,290,338
16178688,53784,297,256
16181632,54918,288,260
16184576,54918,287,312
16187520,48816,330,286
16190464,48816,330,286
16193472,53784,294,364
16196416,48816,329,260
16199360,54918,285,312
16202304,54918,284,286
16205248,54918,282,260
16208256,53784,289,234
16211200,54918,280,286
16214144,54918,279,208
16217088,54918,277,286
16220032,36612,409,286
16223040,41832,375,390
16225984,48816,326,364
16228928,48816,327,390
16231872,48816,327,364
16234816,42714,372,312
16237760,48816,329,312
16240704,48816,330,312
16243648,48816,330,312
16246656,41832,381,364
16249600,48816,333,416
16252544,48816,333,256
16255488,48816,333,286
16258432,54918,289,338
16261376,48816,332,312
16264384,47808,340,364
16267328,54918,289,338
16270272,54918,287,286
16273216,48816,330,286
16276160,48816,331,312
16279104,48816,331,312
16282048,54918,287,260
16285056,47808,337,390
16288000,54918,286,338
16290944,48816,329,338
16293888,54918,285,338
16296832,54918,284,312
16299840,53784,291,286
16302784,54918,281,260
16305728,48816,324,260
16308672,54918,280,286
16311616,54918,279,338
16314624,53784,286,286
16317568,42714,365,286
16320512,48816,323,338
16323456,48816,323,312
16326400,42714,368,312
16329344,54918,281,364
16332352,41832,375,256
16335296,42714,371,260
16338240,48816,329,364
16341184,48816,329,256
16344128,48816,329,286
16347072,42714,374,256
16350016,42714,376,338
16353024,47808,341,390
16355968,54918,290,390
16358912,48816,333,312
16361856,54918,289,312
16364800,54918,287,312
16367808,47808,338,312
16370752,54918,287,338
16373696,54918,285,286
16376640,48816,328,286
16379584,54918,284,338
16382528,48816,327,312
16385536,47808,335,312
16388480,54918,284,286
16391424,54918,283,256
16394368,54918,281,286
16397312,61020,235,234
16400320,53784,285,234
16403264,54918,276,312
16406208,54918,274,234
16409152,54918,273,286
16412096,54918,272,312
16415104,47808,322,286
16418048,48816,315,260
16420992,54918,271,390
16423936,54918,270,260
16426880,48816,313,260
16429824,42714,358,338
16432832,47808,323,312
16435776,54918,271,338
16438720,48816,315,312
16441664,48816,315,286
16444608,54918,271,312
16447552,48816,314,312
16450560,53784,278,260
16453504,48816,313,260
16456448,48816,313,364
16459392,54918,269,312
16462336,54918,268,260
16465280,48816,311,312
16468288,47808,319,364
16471232,54918,268,286
16474176,48816,311,234
16477120,48816,311,260
16480064,54918,267,286
16483008,48816,310,312
16486016,47808,318,312
16488960,48816,311,312
16491904,54918,267,338
16494848,48816,310,338
16497792,42714,355,286
16500736,48816,312,312
16503744,47808,320,338
16506688,54918,269,312
16509632,48816,312,338
16512576,42714,356,312
16515520,48816,314,416
16518464,48816,314,312
16521408,42714,359,260
16524416,47808,324,312
16527360,36612,406,364
16530304,42714,365,390
16533248,48816,323,364
16536192,48816,323,260
16539136,48816,324,312
16542080,48816,324,312
16545088,53784,288,286
16548032,54918,279,286
16550976,54918,278,286
16553920,42714,365,260
16556864,48816,323,312
16559808,54918,279,286
16562816,53784,285,312
16565760,54918,276,286
16568704,54918,275,286
16571648,48816,318,286
16574592,61020,229,364
16577600,53784,279,260
16580544,54918,270,286
16583488,48816,313,286
16586432,48816,313,312
16589376,54918,269,312
16592384,47808,319,260
16595328,48816,313,312
16598272,48816,313,312
16601216,48816,313,364
16604160,48816,314,364
16607104,54918,269,286
16610112,47808,320,260
16613056,48816,313,312
16616000,48816,313,338
16618944,42714,358,338
16621888,48816,316,364
16624832,42714,360,312
16627776,48816,318,416
16630720,42714,363,338
16633728,47808,328,338
16636672,48816,321,312
16639616,54918,277,312
16642560,48816,320,286
16645504,54918,276,312
16648448,54918,275,286
16651456,47808,325,312
16654400,54918,274,286
16657344,48816,317,260
16660288,48816,317,312
16663232,54918,273,364
16666176,54918,272,338
16669184,47808,322,0
16671936,58806,243,286
16674880,48816,313,208
16677888,53784,277,286
16680832,54918,268,312
16683776,54918,267,312
16686720,48816,310,312
16689664,48816,310,312
16692608,54918,266,338
16695616,47808,316,234
16698560,48816,310,260
16701504,48816,310,312
16704448,48816,310,312
16707392,48816,311,338
16710336,54918,267,286
16713344,47808,317,312
16716288,42714,355,338
16719232,48816,312,312
16722176,48816,313,286
16725120,48816,313,364
16728064,36612,402,338
16731008,42714,361,364
16734016,47808,326,256
16736960,42714,364,260
16739904,54918,277,338
16742848,48816,320,260
16745792,48816,320,260
16748736,48816,321,260
16751680,61020,232,286
16754688,53784,282,208
16757632,48816,317,260
16760576,54918,273,260
16763520,54918,272,286
16766464,54918,270,312
16769472,47808,321,286
16772416,48816,314,286
16775360,48816,314,286
16778304,54918,270,286
16781248,54918,269,338
16784192,48816,312,260
16787200,47808,319,364
16790144,48816,313,338
16793088,48816,313,312
16796032,48816,313,312
16798976,36612,403,338
16801920,42714,362,256
16804864,42714,364,416
16807872,35856,416,338
16810816,42714,370,390
16813760,42714,372,390
16816704,42714,374,442
16819648,42714,376,364
16822592,42714,378,390
16825536,48816,336,416
16828544,47808,343,312
16831488,48816,336,312
16834432,48816,337,364
16837376,48816,337,364
16840320,54918,293,256
16843264,48816,336,364
16846208,54918,292,260
16849216,47808,342,312
16852160,48816,336,286
16855104,54918,292,286
16858048,48816,335,338
16860992,54918,291,312
16863936,42714,378,338
16866944,47808,343,390
16869888,54918,292,416
16872832,30510,468,390
16875776,6102,651,442
16878656,0,707,598
16881280,0,720,676
16883904,-6858,782,728
16886848,-6102,792,676
16889792,0,763,780
16892416,0,775,702
16895040,6858,738,754
16897856,6390,753,512
16900736,0,811,702
16903360,0,823,832
16905984,0,836,832
16908608,0,848,858
16911232,0,860,832
16913792,0,872,884
16916416,0,885,936
16919040,0,897,858
16921664,0,909,858
16924288,0,922,962
16926912,6858,884,936
16929728,0,946,910
16932352,0,958,832
16934976,0,970,1014
16937664,0,983,910
16940288,6858,946,962
16943168,0,1007,1014
16945984,0,1020,768
16948672,0,1033,1040
16951424,0,1046,1014
16954240,0,1059,1066
16956992,0,1072,1092
16959808,0,1085,1066
16962560,6534,1051,1092
16965632,0,1111,1014
16968384,0,1124,1040
16971200,0,1137,1066
16973952,0,1150,1066
16976768,0,1163,1144
16979520,6534,1129,1144
16982592,0,1189,1144
16985344,0,1202,1196
16988160,0,1215,1170
16990912,0,1228,1196
16993728,6390,1195,1274
16996736,0,1254,1222
16999552,0,1267,1196
17002304,0,1280,1196
17005120,0,1293,1248
17007872,0,1306,1274
17010688,0,1319,1222
17013440,6534,1285,1248
17016512,0,1345,1352
17019264,0,1358,1300
17022080,0,1371,1404
17024832,0,1384,1378
17027648,0,1397,1378
17030400,6534,1363,1404
17033472,0,1423,1326
17036224,0,1436,1378
17039040,0,1449,1326
17041792,0,1462,1430
17044608,6390,1429,1482
17047616,0,1488,1508
17050432,0,1501,1534
17053184,0,1514,1586
17056000,0,1527,1560
17058752,0,1540,1536
17061568,0,1553,1534
17064320,0,1566,1586
17067072,6534,1532,1612
17070144,0,1592,1534
17072960,0,1605,1586
17075712,0,1618,1586
17078464,0,1631,1560
17081280,0,1644,1638
17084032,6534,1610,1716
17087104,0,1670,1534
17089856,0,1683,1638
17092672,0,1696,1638
17095424,0,1709,1664
17098240,0,1722,1586
17100992,0,1735,1638
17103808,6390,1702,1794
17106816,0,1761,1716
17109632,0,1774,1794
17112384,0,1787,1794
17115200,0,1800,1872
17117952,0,1813,1898
17120768,6390,1780,1846
17123776,0,1839,1716
17126592,0,1852,1820
17129344,0,1865,1794
17132160,0,1878,1820
17134912,0,1891,1792
17137728,6390,1858,1872
17140736,0,1917,1872
17143552,0,1930,1950
17146304,0,1943,2028
17149120,0,1956,2028
17151872,0,1969,1976
17154688,0,1983,2054
17157440,6534,1948,2054
17160512,0,2008,1898
17163264,0,2021,1950
17166080,0,2034,2028
17168832,0,2047,1792
17171648,0,2061,1792
17174400,6534,2026,1950
17177472,0,2086,2132
17180224,0,2099,2158
17183040,0,2113,2158
17185792,0,2125,2210
17188608,0,2139,2132
17191360,6534,2104,2158
17194432,0,2164,2028
17197184,0,2177,2106
17200000,0,2191,2132
17202752,0,2203,2132
17205568,0,2217,2210
17208320,0,2230,2080
17211136,6390,2196,2158
17214144,0,2255,2048
17216960,0,2269,2262
17219712,0,2281,2288
17222528,0,2295,2314
17225280,0,2308,2288
17228096,0,2321,2366
17230848,6534,2286,2340
17233920,0,2347,2314
17236672,0,2359,2262
17239488,0,2373,2340
17242240,0,2386,2392
17245056,0,2399,2366
17247808,6534,2364,2340
17250880,0,2425,2366
17253632,0,2438,2444
17256448,0,2451,2392
17259200,0,2464,2366
17262016,0,2477,2392
17264768,6534,2442,2470
17267840,0,2503,2470
17270592,0,2516,2522
17273408,0,2529,2470
17276160,0,2542,2522
17278976,0,2555,2548
17281728,6534,2520,2574
17284800,0,2581,2496
17287552,0,2594,2522
17290368,0,2607,2548
17293120,0,2620,2522
17295936,0,2633,2574
17298688,0,2646,2652
17301504,6390,2613,2626
