time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg),target(um)
891904,-5000,1863,-14760,-11565,61200
897856,5000,-1622,-13248,-11160,61600
903744,-5000,1863,-14562,-12330,62000
909696,5000,-1601,-13050,-11925,62400
915648,-5000,1842,-14418,-12825,62800
921536,5000,-1601,-12942,-12330,63200
927488,-5000,1821,-14256,-13590,63600
933376,5000,-1728,-12762,-13410,64000
939328,-5000,1884,-14130,-14400,64400
945216,5000,-1664,-12636,-13770,64800
951168,-5000,1905,-14076,-15210,65200
957120,5000,-1770,-12600,-15075,65600
963008,-5000,1905,-14004,-15930,66000
968960,5000,-1664,-12474,-15570,66400
974912,-5000,1821,-13896,-16965,66800
980800,5000,-1643,-12384,-16470,67200
986752,-5000,1884,-13824,-17865,67600
992704,5000,-1559,-12240,-17730,68000
998592,-5000,1757,-13590,-18855,68400
1004544,5000,-1707,-11970,-18450,68800
1010560,-5000,1778,-13248,-19935,69200
1016576,5000,-1622,-11538,-19665,69600
1022592,-5000,1800,-12780,-21150,70000
1028608,5000,-1833,-10998,-20835,70400
1034624,-5000,1715,-12186,-22455,70800
1040640,5000,-1601,-10332,-22185,71200
1046656,-5000,1800,-11484,-23670,71600
1052672,5000,-1707,-9738,-23625,72000
1058624,-5000,1905,-10944,-25200,72400
1064640,5000,-1749,-9126,-25065,72800
1070592,-5000,1863,-10314,-26550,73200
1076608,5000,-1770,-8586,-26235,73600
1082560,5000,1926,-9828,-28215,74000
1088384,5000,2095,-7884,-27585,74400
1094208,5000,1821,-7938,-29970,74800
1100096,5000,1948,-5454,-29700,75200

