1.32	0.705869	1.42	0.39
1.328	0.690025	1.41	0.37
1.336	0.674538	1.39	0.35
1.344	0.659398	1.37	0.34
1.352	0.644598	1.36	0.32
1.36	0.63013	1.34	0.31
1.368	0.615987	1.32	0.29
1.376	0.602161	1.31	0.27
1.384	0.588646	1.29	0.26
1.392	0.575434	1.27	0.25
1.4	0.562518	1.26	0.23
1.408	0.549893	1.24	0.22
1.416	0.53755	1.23	0.20
1.424	0.525485	1.21	0.19
1.432	0.513691	1.20	0.18
1.44	0.502161	1.19	0.17
1.448	0.49089	1.17	0.15
1.456	0.479872	1.16	0.15
1.464	0.469101	1.15	0.13
1.472	0.458573	1.14	0.12
1.48	0.44828	1.12	0.11
1.488	0.438218	1.11	0.10
1.496	0.428383	1.10	0.09
1.504	0.418768	1.09	0.08
1.512	0.409369	1.07	0.07
1.52	0.40018	1.06	0.06
1.528	0.391198	1.05	0.06
1.536	0.382418	1.04	0.05
1.544	0.373835	1.03	0.04
1.552	0.365444	1.02	0.03
1.56	0.357242	1.00	0.02
1.568	0.349223	1.00	0.02
1.576	0.341385	0.98	0.01
1.584	0.333723	0.97	0.00
1.592	0.326232	0.96	-0.00
1.6	0.31891	0.96	-0.01
1.608	0.311752	0.95	-0.01
1.616	0.304755	0.94	-0.01
1.624	0.297915	0.93	-0.01
1.632	0.291228	0.92	-0.01
1.64	0.284692	0.91	0.00
1.648	0.278302	0.90	0.00
1.656	0.272055	0.89	0.01
1.664	0.265949	0.88	0.02
1.672	0.25998	0.88	0.03
1.68	0.254145	0.87	0.03
1.688	0.248441	0.86	0.03
1.696	0.242864	0.85	0.03
1.704	0.237413	0.84	0.03
1.712	0.232085	0.84	0.03
1.72	0.226875	0.83	0.03
1.728	0.221783	0.83	0.03
1.736	0.216805	0.82	0.03
1.744	0.211939	0.81	0.03
1.752	0.207182	0.81	0.03
1.76	0.202532	0.80	0.03
1.768	0.197986	0.80	0.03
1.776	0.193543	0.80	0.03
1.784	0.189199	0.80	0.03
1.792	0.184952	0.80	0.03
1.8	0.180801	0.80	0.03
1.808	0.176743	0.80	0.03
1.816	0.172776	0.80	0.03
1.824	0.168898	0.80	0.03
1.832	0.165107	0.80	0.03
1.84	0.161401	0.80	0.03
1.848	0.157779	0.80	0.03
1.856	0.154237	0.80	0.03
1.864	0.150775	0.80	0.03
1.872	0.147391	0.80	0.03
1.88	0.144083	0.80	0.03
1.888	0.140849	0.80	0.03
1.896	0.137688	0.80	0.03
1.904	0.134597	0.80	0.03
1.912	0.131576	0.80	0.03
1.92	0.128623	0.80	0.03
1.928	0.125736	0.80	0.03
1.936	0.122914	0.80	0.03
1.944	0.120155	0.80	0.03
1.952	0.117459	0.80	0.03
1.96	0.114822	0.80	0.03
1.968	0.112245	0.80	0.03
1.976	0.109726	0.80	0.03
1.984	0.107263	0.80	0.03
1.992	0.104855	0.80	0.03
                                                            0.03
                                                            0.03
                                                            0.03
                                                            0.03
                                                            0.03
                                                            0.03






























































































































































































































































